Classification,Patents count,Patent numbers
F02B3,1,US20230392540
A47J33,1,US20230397760
D04B15,1,US20230399777
A63B39,1,US20230405409
F16H15,1,US20230407950
A63B17,1,US20230415025
C01D1,1,US20230416103
C03B1,1,US20230416136
F41A1,1,US20230417499
H01H11,1,US20230420196
H01H5,1,US20230420194
A62B13,1,US20240001167
C08F114,1,US20240002558
C09J201,1,US20240002711
C09J105,1,US20240002704
G01F9,1,US20240003727
G09C5,1,US20240005820
A01C3,1,US20240008393
A01L15,1,US20240008469
A63B7,1,US20240009500
B07C7,1,US20240009709
B25B19,1,US20240009812
B21D35,1,US20240009963
C01G17,1,US20240010513
C10G7,1,US20240012967
G06K13,1,US20240013192
B25C7,1,US20240017389
D05B97,1,US20240018709
D06B21,1,US20240018705
B62D31,1,US20240025304
B61B5,1,US20240025456
C07J1,1,US20240025941
C07J7,1,US20240025940
B62D13,1,US20240034113
G09F27,1,US20240034255
B63B11,1,US20240034438
E05B39,1,US20240035323
F02M7,1,US20240035430
F24B13,1,US20240035660
A22C29,1,US20240041059
A61Q1,1,US20240041738
B23G1,1,US20240042538
B24C11,1,US20240042577
B60B15,1,US20240042796
C07C321,1,US20240043378
C07C273,1,US20240043375
C07D505,1,US20240043449
C07D489,1,US20240043447
C12Y503,1,US20240043883
E21B45,1,US20240044210
E06C9,1,US20240044207
F03B5,1,US20240044311
A24F19,1,US20240049779
B21K17,1,US20240051016
C12P41,1,US20240052394
D06F67,1,US20240052552
F28B1,1,US20240053102
D06M16,1,US20240057591
B22D15,1,US20240058860
B62D12,1,US20240059352
B62J13,1,US20240059367
C08F261,1,US20240059612
C07F19,1,US20240059714
D06L1,1,US20240060230
D05B81,1,US20240060224
E01D6,1,US20240060253
F16H9,1,US20240060556
G01L27,1,US20240060843
H01J5,1,US20240063005
H03K23,1,US20240063799
A01B19,1,US20240065125
A01C14,1,US20240065138
A01D85,1,US20240065168
B31C11,1,US20240065311
A41B17,1,US20240065345
A43D8,1,US20240065386
A43C13,1,US20240065384
B21L7,1,US20240065392
A45B5,1,US20240065394
A47B41,1,US20240065434
A47C23,1,US20240065449
A61D5,1,US20240065819
B01D51,1,US20240066457
B25C11,1,US20240066674
B27C9,1,US20240066745
B27F5,1,US20240066746
B42B2,1,US20240066906
B60B25,1,US20240066917
B62M21,1,US20240067302
B65B19,1,US20240067375
B42F23,1,US20240067405
A47B45,1,US20240067452
C05B13,1,US20240067580
C08C4,1,US20240067903
C23F3,1,US20240068108
D05B39,1,US20240068142
D06B3,1,US20240068157
D06F53,1,US20240068150
E02F5,1,US20240068179
E01H3,1,US20240068187
E03D3,1,US20240068217
E21D1,1,US20240068308
F02M39,1,US20240068426
F01P5,1,US20240068488
B66C7,1,US20240068503
F16D7,1,US20240068525
F23L17,1,US20240068662
F27B17,1,US20240068748
F41B9,1,US20240068767
G01Q40,1,US20240069064
G05D11,1,US20240069579
G11B17,1,US20240071419
H01C10,1,US20240072711
A47B27,1,US20240074578
B22D7,1,US20240075520
B21J9,1,US20240075518
D21J5,1,US20240075676
B61B7,1,US20240075967
C08F285,1,US20240076428
C08G12,1,US20240076435
C08F299,1,US20240076434
C09B7,1,US20240076499
C10M127,1,US20240076573
C10M155,1,US20240076572
C13B10,1,US20240076753
H05C3,1,US20240076900
E05B75,1,US20240076910
E05G7,1,US20240076928
F01B3,1,US20240077135
F16N31,1,US20240077173
F23M9,1,US20240077203
F01K17,1,US20240077202
G01Q20,1,US20240077516
G01L15,1,US20240077511
G03B7,1,US20240077783
G04B3,1,US20240077834
G21H5,1,US20240079159
H10N80,1,US20240079496
A01D63,1,US20240081185
A47C11,1,US20240081543
A63G19,1,US20240082741
B22D39,1,US20240082908
B22D33,1,US20240082907
B23Q41,1,US20240082977
B43L9,1,US20240083193
B61D45,1,US20240083471
B62D51,1,US20240083524
B63B41,1,US20240083547
B63G7,1,US20240083562
B66F1,1,US20240083723
C01D13,1,US20240083760
C03B40,1,US20240083802
C12H6,1,US20240084231
E01B1,1,US20240084514
E01H12,1,US20240084533
E05D5,1,US20240084627
E05B59,1,US20240084620
F04D23,1,US20240084806
F16C41,1,US20240084854
F16C43,1,US20240084847
F16K29,1,US20240084899
F16M9,1,US20240084954
B62J15,1,US20240085573
H01H51,1,US20240087826
H10N99,1,US20240090355
A01D91,1,US20240090376
A01L7,1,US20240090488
A41F3,1,US20240090606
A45D6,1,US20240090641
A61D17,1,US20240090990
A61F17,1,US20240091080
A45D37,1,US20240091161
A63B51,1,US20240091598
B21D25,1,US20240091840
B21K1,1,US20240091847
B27B9,1,US20240091976
B27B13,1,US20240091975
D06M17,1,US20240092058
B42C19,1,US20240092111
B41M1,1,US20240092106
B43L23,1,US20240092117
B44D2,1,US20240092120
B60K3,1,US20240092157
B61L99,1,US20240092406
B62J40,1,US20240092445
B62M1,1,US20240092452
B81B1,1,US20240092628
C07C13,1,US20240092711
C07B31,1,US20240092708
C07C269,1,US20240092726
C07C55,1,US20240092721
C07D305,1,US20240092750
C09B55,1,US20240093034
C09D155,1,US20240093054
C10B25,1,US20240093092
C10M147,1,US20240093114
C10M1,1,US20240093118
C10M139,1,US20240093117
D05B73,1,US20240093416
C09D119,1,US20240093525
F02B23,1,US20240093659
G12B3,1,US20240093757
F26B23,1,US20240093939
F28D13,1,US20240093941
F41C3,1,US20240093963
F41H3,1,US20240093968
G01V15,1,US20240094431
G07D3,1,US20240096161
